Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Andrew Wiggins,GSW,29,28,13,15,29.1,16.4,5.8,12.9,44.6,2.2,5.4,40.7,2.8,3.5,78.6,1.6,2.8,4.4,2.4,1.2,0.9,0.9,1.7,29.2,2,0,-0.8
Chet Holmgren,OKC,22,10,8,2,26.5,16.4,5.6,11.1,50.5,1.4,3.7,37.8,3.8,4.9,77.6,1.6,7.1,8.7,2,2.3,0.8,2.6,1.8,37.7,4,0,9.1
OG Anunoby,NYK,27,33,23,10,36.3,16.4,6.2,13.1,47.1,2.1,6,35.2,1.9,2.3,80.5,1.2,3.9,5.1,1.9,1.3,1.5,1,2.5,31.4,0,0,7.7
Dennis Schr�der,GSW,31,30,11,19,32.3,16.3,5.6,13.3,42.4,2.2,6.1,35.3,2.8,3.2,87.6,0.2,2.5,2.7,6,2.5,1,0.2,2.5,29.4,4,0,-3.5
Jordan Clarkson,UTA,32,20,5,15,26.4,16.3,5.5,13.3,41.4,1.9,5.7,33.6,3.4,4.1,82.7,0.7,2.9,3.5,4.1,2.5,0.9,0.3,1.6,27.6,0,0,-7.1
Bam Adebayo,MIA,27,30,16,14,34.9,16.1,6.2,13.7,45,0.8,2.7,28.8,3,4.2,71.7,2.4,7.5,9.9,4.7,2.1,1.4,0.9,2.2,39.8,17,1,1.2
Dejounte Murray,NOP,28,16,2,14,34,16,5.9,16.3,36.5,1.4,5.3,27.1,2.7,3.3,82.7,0.4,6.3,6.8,7.5,4.1,2.6,0.5,2.4,40.5,4,0,-12
Keyonte George,UTA,21,26,5,21,31.5,15.8,5.3,13.5,39.2,2.7,7.7,34.7,2.6,3.2,79.8,0.5,2.9,3.3,5.7,3.3,0.7,0.2,1.7,27.9,1,0,-7.8
Malik Monk,SAC,26,25,11,14,29.9,15.8,5.7,13,44,2.4,6.8,35.5,2,2.3,86.2,0.2,3.4,3.6,4.8,1.8,0.8,0.6,2.4,29.7,2,0,0.8
Paul George,PHI,34,19,10,9,32.1,15.8,5.6,13.9,40.4,2,6.4,31.4,2.5,3.2,78.7,0.7,4.8,5.5,4.8,2.5,2,0.5,2.3,34.5,1,0,-1.9
Devin Vassell,SAS,24,17,8,9,27.6,15.8,5.8,12.7,45.8,2.2,5.7,39.2,1.9,2.3,82.1,0.8,2.3,3.1,2.8,1.5,1,0.4,1.9,26.4,0,0,-6
Desmond Bane,MEM,26,25,16,9,28.2,15.7,5.8,12.4,46.3,2,5.8,35.4,2.1,2.5,85.5,0.8,5.1,6,4.8,2.2,1.2,0.4,2.6,32.6,2,0,6.2
Payton Pritchard,BOS,26,32,23,9,28.8,15.6,5.3,11.3,46.8,3.7,8.7,41.9,1.3,1.5,85.4,1.5,2.3,3.8,3.4,1.1,0.9,0.1,1.8,27.3,3,0,5.3
Jakob Poeltl,TOR,29,27,7,20,31.9,15.4,6.6,11.1,59,0,0.1,0,2.3,3.4,68.5,3.9,7,10.9,2.7,2.2,1.1,1.3,3.6,37.6,14,0,-2.6
Ivica Zubac,LAC,27,32,19,13,32.7,15.4,6.9,11.3,61.7,0,0,0,1.5,2.9,51.6,4,8.6,12.7,2.5,1.8,0.7,1.1,2,38,22,0,3.8
Fred VanVleet,HOU,30,30,19,11,35.1,15.4,5.4,14.2,37.9,2.6,8,32.5,2,2.5,79.7,0.8,3.7,4.6,6,1.5,1.4,0.5,2.4,34.2,3,0,5.7
Immanuel Quickley,TOR,25,3,0,3,22.5,15.3,5.3,14,38.1,2,5.3,37.5,2.7,3,88.9,0.3,1.7,2,4,1.3,0.7,0,2.3,24.4,0,0,-9.7
Kyle Kuzma,WAS,29,13,1,12,27,15.3,6.2,14.6,42.1,1.2,4.7,26.2,1.8,2.8,63.9,0.7,4.6,5.3,2,2.4,0.5,0.2,2,24.4,1,0,-11.2
Jared McCain,PHI,20,23,7,16,25.7,15.3,5.5,11.9,46,2.2,5.8,38.3,2.1,2.4,87.5,0.6,1.9,2.4,2.6,1.6,0.7,0,1.6,22.5,1,0,-1.2
Jerami Grant,POR,30,29,10,19,32.7,15,4.9,12.7,38.2,2.4,6.4,38.2,2.8,3.4,82,0.5,3.1,3.6,2.3,1.4,0.9,1,2.3,27,0,0,-8.4
Myles Turner,IND,28,31,15,16,31.3,14.9,5.4,11.1,48.4,1.9,4.9,39.2,2.2,3,72.3,1.3,5.7,7.1,1.6,2.3,0.8,2.1,2.9,31.9,5,0,-0.7
Deandre Ayton,POR,26,22,7,15,30.6,14.8,6.9,12.2,56.1,0.3,1.1,25,0.8,1.3,64.3,3,7.4,10.4,1.4,1.7,1,1,2.4,33.4,13,0,-7.4
Malcolm Brogdon,WAS,32,15,2,13,25.3,14.5,5,11,45.5,1,2.9,34.1,3.5,4,86.7,1,3.2,4.2,3.8,1.9,0.7,0.3,1.7,26.1,2,0,-9
Josh Hart,NYK,29,32,22,10,37.1,14.4,5.4,9.4,57.6,1.4,3.5,39.3,2.2,2.7,81.4,1.8,6.8,8.6,5.5,1.8,1.5,0.4,2.4,36.7,13,3,6.3
Jeremy Sochan,SAS,21,19,8,11,30,14.4,5.6,10.7,52.7,0.5,1.7,27.3,2.7,3.7,72.9,2.7,5.7,8.4,2.8,1.9,0.9,0.7,2.6,31.5,6,0,-0.7
Christian Braun,DEN,23,30,17,13,33.7,14.1,5.4,9.7,55.9,0.9,2.5,36.8,2.4,3,80,1.2,3.6,4.8,2,1.2,1.3,0.6,2.3,27.4,0,0,6.2
Tre Mann,CHA,23,13,6,7,24.5,14.1,5.4,12.4,43.5,1.8,4.6,40,1.5,1.6,90.5,0.9,2,2.9,3,1.9,0.5,0.3,1.8,22.7,0,0,-4.2
Klay Thompson,DAL,34,28,16,12,27.7,14.1,5.1,12.2,41.6,3,7.9,38,0.9,1,89.7,0.6,2.8,3.4,1.9,1.2,1,0.4,1.4,23.9,0,0,6.3
Bobby Portis,MIL,29,29,15,14,25.2,14.1,5.8,12.3,47.3,1.4,3.7,37.4,1,1.3,76.9,1.8,6,7.8,2.2,1.3,0.7,0.6,1.7,29.4,5,0,-1.8
Dillon Brooks,HOU,28,29,19,10,31.9,13.9,5,11.8,42.8,2.3,6.1,38.6,1.5,1.8,86.3,1.3,2.7,4,1.6,1.1,0.7,0.3,3.3,22.9,0,0,6.1
Aaron Gordon,DEN,29,17,10,7,28.7,13.7,4.8,9.1,52.3,1.3,2.9,44,2.9,3.8,75.4,1.9,3.9,5.8,3.1,1.4,0.5,0.2,1.8,25.8,2,0,5.5
Khris Middleton,MIL,33,9,5,4,22.8,13.7,4.9,10.7,45.8,2,4.1,48.6,1.9,2.3,81,0.2,3.9,4.1,5.3,2.4,1,0.2,2.8,27.8,0,0,5
Deni Avdija,POR,23,31,11,20,26.6,13.3,4.3,9.7,44.7,1.4,4,35.8,3.2,4.1,78.1,1.3,4.5,5.8,3.2,2.1,0.9,0.7,2.2,27.8,2,0,-5.7
Bilal Coulibaly,WAS,20,28,5,23,34.7,13.3,4.8,11.1,42.8,1.2,4,29.7,2.6,3.3,78.5,1.4,4.3,5.6,3.7,2.1,1.4,0.8,2.5,30.3,1,0,-11.3
Jarrett Allen,CLE,26,32,28,4,29.2,13.3,5.4,7.9,68.7,0,0,0,2.4,3.3,73.6,2.3,7.7,10,1.9,1.1,1,0.8,1.3,32.5,18,0,6.4
Dyson Daniels,ATL,21,29,16,13,33.6,13,5.4,11.9,45.7,1.2,3.8,32.7,0.9,1.5,60.5,1.6,3.5,5.1,3.5,1.9,3.1,0.9,2.5,34.4,1,0,-2
Santi Aldama,MEM,23,31,21,10,25.7,13,5.1,10,50.8,1.7,4.5,38.8,1.1,1.4,76.7,1.5,5.7,7.3,3,1.2,0.9,0.5,1,29.3,8,0,6
Moritz Wagner,ORL,27,30,18,12,18.8,12.9,4.7,8.3,56.2,0.9,2.5,36,2.6,3.7,71.8,1.3,3.6,4.9,1.4,1.6,0.8,0.4,1.8,22.9,1,0,-0.6
Tobias Harris,DET,32,30,13,17,31.5,12.7,4.8,11.1,42.9,1.3,4.2,32,1.9,2.2,84.8,1,5.3,6.3,2.4,1.1,0.8,0.9,2,27.6,2,0,-1.8
Kelly Oubre Jr.,PHI,29,29,12,17,32.3,12.7,4.9,10.8,45,1.3,4.3,29.4,1.7,2.4,71,1.6,4.1,5.7,1.5,1.2,1.2,0.5,2.8,25.6,3,0,-3.6
Ayo Dosunmu,CHI,24,30,13,17,30.8,12.6,4.9,10,49,1.3,4.2,32,1.4,1.8,79.6,0.6,3.3,3.9,4.8,1.3,0.8,0.5,2.3,27,1,1,-4.6
Buddy Hield,GSW,32,32,16,16,22.8,12.6,4.5,10.5,42.9,2.8,7.2,39.3,0.8,0.8,92.3,0.6,2.8,3.4,1.2,1.3,0.8,0.3,1.8,20.5,0,0,1
Isaiah Hartenstein,OKC,26,16,15,1,30,12.6,5.4,9.3,58.1,0,0.4,0,1.8,2.8,64.4,2.9,9.7,12.6,3.8,1.9,0.8,1.2,3.1,37.5,12,0,7
Rui Hachimura,LAL,26,26,15,11,33.5,12.5,4.6,9.5,48.4,1.6,3.6,45.2,1.7,2.1,83.3,1.7,3.7,5.4,1.6,1,1,0.7,2,25.3,1,0,0.8
D'Angelo Russell,BKN,28,29,16,13,26.3,12.4,4.4,10.7,41.5,1.9,5.8,33.3,1.6,1.8,84.9,0.3,2.5,2.8,4.7,1.7,0.8,0.1,1.8,23.8,1,0,1.6
Tyus Jones,PHX,28,31,15,16,31.4,12.3,4.7,9.5,49.3,2.3,5.3,43.6,0.6,0.7,86.4,0.5,2,2.6,6.4,1.2,0.9,0.2,1,27.2,4,0,-2.5
Josh Giddey,CHI,22,29,14,15,27.3,12.3,4.7,10.4,44.9,1.2,4,31,1.8,2.4,72.9,1.4,5.5,6.9,7,2.7,1,0.4,1.4,32.7,6,2,-1.7
Brook Lopez,MIL,36,30,16,14,32.7,12.3,4.7,9.6,48.4,2,5.2,37.8,1,1.3,74.4,1.2,3.7,4.9,1.6,1.1,0.9,2,2.3,28.2,1,0,1.3
Jrue Holiday,BOS,34,26,19,7,30.6,12.2,4.5,10,44.8,1.8,5.4,32.6,1.5,1.7,88.9,1.1,3.2,4.3,3.7,1.5,0.9,0.4,1.5,25.4,0,0,4.7
Daniel Gafford,DAL,26,31,19,12,20.7,12.2,5,7,72.2,0,0,0,2.2,3.2,67.7,2.5,3.6,6.2,1.2,1,0.5,1.3,2.6,25.8,2,0,0.7
Naz Reid,MIN,25,31,17,14,24.4,12.2,4.5,10,45.5,1.7,4.9,34.6,1.4,1.7,81.1,0.7,4.2,4.9,1.7,1.2,0.7,0.8,2.4,23.8,1,0,1.8
P.J. Washington,DAL,26,25,19,6,32.4,12.2,4.4,9.9,44.9,1.6,4,39.4,1.7,2.3,74.1,1.5,6.2,7.7,2.2,1.8,1.2,1.1,2,29.9,7,0,5.8
Julian Champagnie,SAS,23,32,16,16,28.3,12.2,4.2,9.7,43.1,2.6,7.1,37,1.2,1.3,90.2,0.7,4.1,4.8,1.4,1.1,0.9,0.6,1.6,23.2,0,0,1.7
Russell Westbrook,DEN,36,31,18,13,26.4,12.1,4.5,10,44.7,1.1,3.5,31.2,2,3.3,62.4,1.1,3.5,4.5,6.5,2.7,1.7,0.5,2.5,31.4,5,2,-1.2
Terry Rozier,MIA,30,27,13,14,28.7,12,4.3,10.8,39.7,1.7,5.3,32.2,1.7,2,88.7,0.7,3.3,4,2.7,1.5,0.7,0.4,1.4,22.8,0,0,-0.2
Bruce Brown,TOR,28,1,0,1,19.2,12,6,12,50,0,2,0,0,0,0,1,2,3,1,1,1,0,1,19.1,0,0,-6
Mark Williams,CHA,23,10,0,10,18.3,12,5,7.6,65.8,0,0,0,2,2.6,76.9,2.2,5,7.2,2.1,0.6,0.6,1,2,28,2,0,-5.7
Keldon Johnson,SAS,25,29,14,15,24.7,12,4.5,10,44.8,1,3.7,26.9,2,2.7,75.3,1.1,3.9,5,1.6,0.8,0.8,0.2,1.6,22.5,1,0,-3.5
Amen Thompson,HOU,21,32,21,11,27.8,11.9,4.6,8.3,55.6,0.3,1.3,26.2,2.3,3.4,69.4,2.5,4.6,7.1,2.2,1.8,1.1,1.1,2.3,28.5,7,0,3.6
Caris LeVert,CLE,30,26,24,2,23.9,11.9,4.2,8.1,51.2,1.8,3.9,47.5,1.8,2.6,68.7,0.5,2.2,2.7,3.8,1.3,1,0.5,1.3,23.9,0,0,10.5
Jabari Smith Jr.,HOU,21,32,21,11,31.2,11.9,4.1,9.5,43,1.7,4.9,35.3,2,2.3,87.7,1.8,4.8,6.7,1,0.9,0.3,1,2.3,24.4,5,0,3.5
Keegan Murray,SAC,24,31,13,18,35.5,11.9,4.6,11,41.6,1.6,5.5,29.1,1.1,1.3,87.2,2.2,5.2,7.4,1.4,1,0.7,0.8,2.9,26.4,9,0,1.1
Jonas Valan?i?nas,WAS,32,30,5,25,19.9,11.9,4.9,8.7,55.9,0.1,0.6,15.8,2,2.2,92.4,2.3,5.7,8.1,2.3,1.7,0.5,0.8,1.7,27,9,0,-6.6
Jordan Hawkins,NOP,22,17,3,14,24.8,11.8,3.8,10.6,35.9,1.9,6,32.4,2.2,2.5,88.1,0.4,2.6,2.9,1.1,1,0.4,0.5,0.9,18.7,0,0,-7.4
Alexandre Sarr,WAS,19,27,4,23,27.3,11.6,4.4,10.8,40.5,1.5,4.7,31.7,1.4,2.2,63.3,1.9,4.2,6.1,2.1,1.5,0.7,1.8,2.8,28.1,2,0,-9.7
Brandon Boston,NOP,23,30,3,27,25.4,11.5,4.3,9.7,44.2,1.3,3.6,34.9,1.6,2,80.3,0.6,2.7,3.3,2.7,1.4,1.4,0.2,1.8,23.2,0,0,-3.2
Scoot Henderson,POR,20,24,9,15,25.9,11.5,4.1,10.2,40.2,1.1,3.5,31.8,2.2,2.9,75.7,0.7,2.2,2.9,5,2.6,1.1,0.3,2.7,23.9,1,0,-4.8
Onyeka Okongwu,ATL,24,26,14,12,23.5,11.5,4.5,8.1,55,0.4,1.6,23.8,2.2,2.8,76.7,2.5,4,6.5,1.3,0.8,0.7,0.7,2.2,24.8,5,0,-1.4
Corey Kispert,WAS,25,25,4,21,26.9,11.4,4.2,9.5,43.9,2,5.8,33.6,1.1,1.3,84.4,0.4,2.8,3.2,1.6,1.1,0.6,0.2,1.6,18.7,0,0,-6.4
Bogdan Bogdanovi?,ATL,32,14,8,6,25.5,11.3,3.9,9.5,40.6,2.1,6.4,33.7,1.4,1.5,95.2,0.6,2.5,3.1,2.2,1.8,0.9,0.3,2.6,20,0,0,-0.3
Ochai Agbaji,TOR,24,32,7,25,30.1,11.3,4.5,8.9,50.9,1.7,4.1,41.2,0.5,0.8,65.4,0.9,3.1,4,1.9,0.8,0.9,0.5,2.4,22.1,0,0,-5
Jaylen Wells,MEM,21,33,22,11,24.8,11.3,4.1,9.1,44.9,1.8,4.8,37.3,1.3,1.6,81.1,0.9,2.2,3.1,1.7,1.2,0.5,0.2,1.8,18.3,0,0,3.5
